태그,랭킹,안정성규칙,스크리너,RIM필터,모멘텀,n,CAGR_수정전_%,CAGR_수정후_%,차이_%p,net_CAGR_%,MDD_%,net_Sharpe,Robustness,회전율_%,구간수
D_factor_only,factor_composite,"R1,R2,R3,R4,R5",,,,20,1.5988,1.0901,-0.5087,-0.1483,-31.2303,-0.0685,0.2,66.5,20
D_no_r1,rim,"R2,R3,R4,R5,R6",,Y,,20,8.252,10.4289,2.1769,9.2933,-42.5658,0.3517,0.55,60.0,20
D_no_r2,rim,"R1,R3,R4,R5,R6",,Y,,20,9.5408,10.5796,1.0388,9.4352,-39.4452,0.3405,0.5,60.75,20
D_no_r3,rim,"R1,R2,R4,R5,R6",,Y,,20,9.2899,9.255,-0.0349,8.1273,-35.9765,0.3057,0.5,60.5,20
D_no_r4,rim,"R1,R2,R3,R5,R6",,Y,,20,9.5715,10.4724,0.9009,9.3317,-39.1391,0.3374,0.5,60.75,20
D_no_r5,rim,"R1,R2,R3,R4,R6",,Y,,20,9.441,10.1337,0.6926,9.0008,-39.1391,0.3264,0.5,60.5,20
D_no_r6,rim,"R1,R2,R3,R4,R5",,Y,,20,8.7939,13.1015,4.3077,11.9742,-44.441,0.4183,0.6,57.75,20
D_no_stability,rim,(없음),,Y,,20,10.5881,15.3553,4.7672,14.2474,-42.2029,0.4722,0.6,57.25,20
D_pbr_no_r3r4,pbr,"R1,R2,R5,R6",,,,20,10.7868,9.9306,-0.8562,8.9957,-35.4747,0.3514,0.55,48.25,20
D_pbr_only,pbr,"R1,R2,R3,R4,R5",,,,20,11.283,11.4751,0.1921,10.5579,-36.7504,0.3993,0.5,46.5,20
D_rim_only,rim,"R1,R2,R3,R4,R5,R6",,Y,,20,9.5408,10.3989,0.8581,9.2594,-39.1391,0.335,0.5,60.75,20
E_gpa_only,rim,"R1,R2,R3,R4,R5,R6",Y,Y,,20,-3.3991,-3.4645,-0.0654,-4.374,-43.3214,-0.2987,0.25,53.41,20
E_no_r6,rim,"R1,R2,R3,R4,R5",Y,Y,,20,9.7583,13.076,3.3176,11.8017,-29.0826,0.4325,0.65,66.0,20
E_op_only,rim,"R1,R2,R3,R4,R5,R6",Y,Y,,20,9.584,9.5403,-0.0437,7.9949,-27.4857,0.2896,0.5,80.5,20
E_pbr_only,rim,"R1,R2,R3,R4,R5,R6",Y,Y,,20,10.5684,11.5767,1.0083,10.4369,-37.3438,0.3743,0.5,60.5,20
E_rev_only,rim,"R1,R2,R3,R4,R5,R6",Y,Y,,20,1.5064,3.8754,2.369,2.4728,-34.3009,0.0981,0.35,76.0,20
E_screener_rim,rim,"R1,R2,R3,R4,R5,R6",Y,Y,,20,6.8388,7.2304,0.3916,6.0489,-38.1449,0.2484,0.45,63.5,20
F_momentum_rim,rim,"R1,R2,R3,R4,R5,R6",,Y,,20,15.4233,11.9009,-3.5224,10.3868,-32.854,0.3799,0.55,79.0,20
F_no_r2,rim,"R1,R3,R4,R5,R6",,Y,,20,15.4233,12.1406,-3.2827,10.6281,-32.854,0.3876,0.55,78.75,20
F_no_r2r3,rim,"R1,R4,R5,R6",,Y,,20,15.3699,11.5817,-3.7881,10.0857,-29.788,0.371,0.55,78.5,20
F_no_r2r3r4,rim,"R1,R5,R6",,Y,,20,14.4387,11.6084,-2.8304,10.1122,-29.788,0.372,0.55,78.5,20
F_no_r2r4,rim,"R1,R3,R5,R6",,Y,,20,14.4917,12.1674,-2.3244,10.6547,-32.854,0.3886,0.55,78.75,20
F_no_r3,rim,"R1,R2,R4,R5,R6",,Y,,20,15.3699,11.4643,-3.9056,9.9702,-29.788,0.3671,0.55,78.5,20
F_no_r3r4,rim,"R1,R2,R5,R6",,Y,,20,14.4387,11.4909,-2.9479,9.9966,-29.788,0.368,0.55,78.5,20
F_no_r4,rim,"R1,R2,R3,R5,R6",,Y,,20,14.4917,11.9276,-2.5642,10.4134,-32.854,0.3809,0.55,79.0,20
F_no_r6,rim,"R1,R2,R3,R4,R5",,Y,,20,14.9854,13.6938,-1.2916,12.1635,-35.0282,0.4459,0.45,77.5,20
F_no_stability_clean,rim,(없음),,Y,,20,15.1628,15.3229,0.1601,13.7185,-35.9404,0.4946,0.65,80.0,20
F_pbr_52w70,pbr,"R1,R2,R5,R6",,,52w_high,20,13.3836,11.4128,-1.9708,10.2378,-35.545,0.4098,0.6,59.5,20
F_pbr_52w75,pbr,"R1,R2,R5,R6",,,52w_high,20,15.908,14.0284,-1.8796,12.7568,-32.2652,0.4942,0.65,63.25,20
F_pbr_52w80,pbr,"R1,R2,R5,R6",,,52w_high,20,15.4857,14.4979,-0.9878,13.1089,-36.1444,0.4748,0.7,69.0,20
F_pbr_absret126,pbr,"R1,R2,R5,R6",,,abs_return,20,13.758,11.5149,-2.2431,10.0066,-36.0377,0.3699,0.55,74.5,20
F_pbr_ma100,pbr,"R1,R2,R5,R6",,,ma200,20,13.4958,13.9863,0.4905,12.2938,-29.7119,0.428,0.6,82.5,20
F_pbr_ma120_200,pbr,"R1,R2,R5,R6",,,ma_double_adapter,20,13.8408,12.6078,-1.233,11.1871,-31.0857,0.4299,0.55,70.5,20
F_pbr_ma150,pbr,"R1,R2,R5,R6",,,ma200,20,14.0378,12.5008,-1.5369,10.9131,-34.047,0.3949,0.5,78.5,20
F_pbr_ma200,pbr,"R1,R2,R5,R6",,,ma200,20,16.1678,15.115,-1.0528,13.5883,-37.4308,0.4847,0.55,75.0,20
F_pbr_ma200_n10,pbr,"R1,R2,R5,R6",,,ma200,10,19.2417,17.6471,-1.5946,16.0121,-41.5788,0.5325,0.65,78.0,20
F_pbr_ma200_n12,pbr,"R1,R2,R5,R6",,,ma200,12,21.3745,16.6615,-4.7129,15.0679,-31.5134,0.5326,0.7,77.08,20
F_pbr_ma200_n13,pbr,"R1,R2,R5,R6",,,ma200,13,20.3329,15.564,-4.7689,13.9757,-33.0156,0.5025,0.7,77.31,20
F_pbr_ma200_n20,pbr,"R1,R2,R5,R6",,,ma200,20,16.1678,15.115,-1.0528,13.5883,-37.4308,0.4847,0.55,75.0,20
F_pbr_ma200_nor2_n10,pbr,"R1,R5,R6",,,ma200,10,,17.9854,,16.3478,-41.5788,0.5407,0.65,78.0,20
F_pbr_ma200_nor2_n12,pbr,"R1,R5,R6",,,ma200,12,,17.1189,,15.5221,-31.5134,0.5451,0.7,77.08,20
F_pbr_ma200_nor2_n13,pbr,"R1,R5,R6",,,ma200,13,,15.9802,,14.3891,-33.0156,0.5145,0.7,77.31,20
F_pbr_ma2060_cd3,pbr,"R1,R2,R5,R6",,,ma_double_adapter,20,15.3847,12.3836,-3.0011,10.7812,-31.9082,0.3993,0.55,79.5,20
F_pbr_ma2060_cd7,pbr,"R1,R2,R5,R6",,,ma_double_adapter,20,15.4371,13.6144,-1.8226,12.0168,-31.0789,0.4409,0.55,79.0,20
F_pbr_ma2060_sl10,pbr,"R1,R2,R5,R6",,,ma_double_adapter,20,13.2033,9.8628,-3.3405,8.2661,-35.2946,0.3071,0.55,80.0,20
F_pbr_ma2060_sl30,pbr,"R1,R2,R5,R6",,,ma_double_adapter,20,15.5161,14.5597,-0.9564,13.0147,-32.0735,0.4589,0.55,76.0,20
