n,gross_CAGR_%,구간평균_%,구간표준편차_%,MDD_구간_%,Sharpe_구간,재실행_대조_%
1,4.607,4.669,21.2019,-62.3058,0.2237,
2,4.5759,3.8027,18.0581,-55.1098,0.1948,
3,9.6643,5.7997,15.5359,-37.8975,0.4082,
4,11.2451,6.8794,18.9051,-35.4934,0.4163,
5,10.5692,6.3483,16.7938,-36.9802,0.4239,
6,12.4691,7.4717,18.2994,-37.2948,0.4758,
7,11.0362,6.7417,17.436,-40.0337,0.4401,
8,12.2038,7.4262,18.1569,-41.0411,0.476,
9,16.3296,10.0905,23.9579,-40.143,0.518,
10,17.6471,10.4868,22.3962,-41.5788,0.5792,17.6471
11,18.5713,10.6227,21.0303,-32.598,0.6259,
12,16.6615,9.6207,20.1291,-31.5134,0.5835,16.6615
13,15.564,9.0568,19.7485,-33.0156,0.5544,15.564
14,15.0862,9.0529,21.3906,-34.3577,0.5116,
15,15.6942,9.2653,20.9396,-34.8291,0.5369,
16,15.1202,8.9531,20.6512,-34.8797,0.5231,
17,15.3702,9.0308,20.1981,-35.5805,0.5402,
18,15.9179,9.411,21.1993,-35.943,0.5401,
19,14.9313,8.8627,20.4653,-36.8126,0.5216,
20,15.115,8.9165,20.1549,-37.4308,0.5334,15.115
