구간,풀_수정전,풀_수정후,증감,신규,제외
2015-04-03,0,0,0,0,0
2015-08-19,0,0,0,0,0
2016-04-05,271,273,2,9,7
2016-08-18,674,686,12,14,2
2017-04-05,273,274,1,8,7
2017-08-18,279,267,-12,5,17
2018-04-04,237,236,-1,3,4
2018-08-20,199,174,-25,3,28
2019-04-03,295,293,-2,5,7
2019-08-20,211,195,-16,2,18
2020-04-03,69,65,-4,2,6
2020-08-20,428,357,-71,6,77
2021-04-05,517,512,-5,8,13
2021-08-19,404,349,-55,4,59
2022-04-05,296,283,-13,2,15
2022-08-18,200,156,-44,3,47
2023-04-05,361,344,-17,3,20
2023-08-18,344,283,-61,5,66
2024-04-03,319,310,-9,4,13
2024-08-20,298,253,-45,2,47
2025-04-03,203,198,-5,1,6
2025-08-20,567,414,-153,9,162
