구간,유지_n,유지_평균_%,제외_n,제외_평균_%,풀평균_수정전_%,풀평균_변화_%p
2016-04-05,264,4.74,7,16.71,5.05,-0.31
2016-08-18,672,-5.65,2,3.62,-5.63,-0.03
2017-04-05,266,0.52,7,14.66,0.88,-0.36
2017-08-18,262,10.31,17,2.52,9.84,0.48
2018-04-04,233,-6.19,4,-1.93,-6.12,-0.07
2018-08-20,171,1.39,28,-14.44,-0.84,2.23
2019-04-03,288,-5.36,7,-22.31,-5.77,0.4
2019-08-20,193,-13.99,18,-25.6,-14.98,0.99
2020-04-03,63,49.2,6,90.24,52.77,-3.57
2020-08-20,351,32.32,77,30.9,32.06,0.26
2021-04-05,504,2.31,13,-0.34,2.25,0.07
2021-08-19,345,5.25,59,3.68,5.02,0.23
2022-04-05,281,-14.37,15,-18.26,-14.57,0.2
2022-08-18,153,7.75,47,-8.66,3.89,3.86
2023-04-05,341,0.75,20,-8.81,0.22,0.53
2023-08-18,278,6.59,66,-2.15,4.92,1.68
2024-04-03,306,-2.0,13,11.62,-1.45,-0.56
2024-08-20,251,-6.23,47,-11.7,-7.09,0.86
2025-04-03,197,19.72,6,35.73,20.19,-0.47
2025-08-20,405,23.42,162,36.14,27.06,-3.63
