구간,구분,항목,모집단_n,판정가능_n,결측_n,판정가능_%,결측정책,결측통과_n,경고
2016-04-05,규칙,R1,1332,1325,7,99.47,pass,7,
2016-04-05,규칙,R2,1332,1076,256,80.78,pass,256,
2016-04-05,규칙,R5,1332,1279,53,96.02,pass,53,
2016-04-05,규칙,R6,1332,1278,54,95.95,pass,54,
2016-04-05,계정,당기순이익,1332,0,1332,0.0,,,WARN
2016-04-05,계정,매출액,1332,0,1332,0.0,,,WARN
2016-04-05,계정,매출원가,1332,0,1332,0.0,,,WARN
2016-04-05,계정,매출총이익,1332,0,1332,0.0,,,WARN
2016-04-05,계정,영업활동현금흐름,1332,0,1332,0.0,,,WARN
2016-04-05,계정,자산총계,1332,0,1332,0.0,,,WARN
2016-04-05,계정,지배주주지분,1332,0,1332,0.0,,,WARN
2016-04-05,계정,차입금(+리스),1332,0,1332,0.0,,,WARN
2016-08-18,규칙,R1,1349,1348,1,99.93,pass,1,
2016-08-18,규칙,R2,1349,1140,209,84.51,pass,209,
2016-08-18,규칙,R5,1349,0,1349,0.0,pass,1349,WARN
2016-08-18,규칙,R6,1349,0,1349,0.0,pass,1349,WARN
2016-08-18,계정,당기순이익,1349,0,1349,0.0,,,WARN
2016-08-18,계정,매출액,1349,0,1349,0.0,,,WARN
2016-08-18,계정,매출원가,1349,0,1349,0.0,,,WARN
2016-08-18,계정,매출총이익,1349,0,1349,0.0,,,WARN
2016-08-18,계정,영업활동현금흐름,1349,0,1349,0.0,,,WARN
2016-08-18,계정,자산총계,1349,0,1349,0.0,,,WARN
2016-08-18,계정,지배주주지분,1349,0,1349,0.0,,,WARN
2016-08-18,계정,차입금(+리스),1349,0,1349,0.0,,,WARN
2017-04-05,규칙,R1,1407,1406,1,99.93,pass,1,
2017-04-05,규칙,R2,1407,1136,271,80.74,pass,271,
2017-04-05,규칙,R5,1407,1357,50,96.45,pass,50,
2017-04-05,규칙,R6,1407,1364,43,96.94,pass,43,
2017-04-05,계정,당기순이익,1407,1312,95,93.25,,,
2017-04-05,계정,매출액,1407,1322,85,93.96,,,
2017-04-05,계정,매출원가,1407,0,1407,0.0,,,WARN
2017-04-05,계정,매출총이익,1407,1245,162,88.49,,,
2017-04-05,계정,영업활동현금흐름,1407,1298,109,92.25,,,
2017-04-05,계정,자산총계,1407,1329,78,94.46,,,
2017-04-05,계정,지배주주지분,1407,846,561,60.13,,,
2017-04-05,계정,차입금(+리스),1407,1053,354,74.84,,,
2017-08-18,규칙,R1,1392,1391,1,99.93,pass,1,
2017-08-18,규칙,R2,1392,1141,251,81.97,pass,251,
2017-08-18,규칙,R5,1392,1259,133,90.45,pass,133,
2017-08-18,규칙,R6,1392,1280,112,91.95,pass,112,
2017-08-18,계정,당기순이익,1392,0,1392,0.0,,,WARN
2017-08-18,계정,매출액,1392,0,1392,0.0,,,WARN
2017-08-18,계정,매출원가,1392,0,1392,0.0,,,WARN
2017-08-18,계정,매출총이익,1392,0,1392,0.0,,,WARN
2017-08-18,계정,영업활동현금흐름,1392,0,1392,0.0,,,WARN
2017-08-18,계정,자산총계,1392,1330,62,95.55,,,
2017-08-18,계정,지배주주지분,1392,850,542,61.06,,,
2017-08-18,계정,차입금(+리스),1392,1066,326,76.58,,,
2018-04-04,규칙,R1,1475,1473,2,99.86,pass,2,
2018-04-04,규칙,R2,1475,1154,321,78.24,pass,321,
2018-04-04,규칙,R5,1475,1437,38,97.42,pass,38,
2018-04-04,규칙,R6,1475,1448,27,98.17,pass,27,
2018-04-04,계정,당기순이익,1475,1383,92,93.76,,,
2018-04-04,계정,매출액,1475,1385,90,93.9,,,
2018-04-04,계정,매출원가,1475,0,1475,0.0,,,WARN
2018-04-04,계정,매출총이익,1475,1321,154,89.56,,,
2018-04-04,계정,영업활동현금흐름,1475,1368,107,92.75,,,
2018-04-04,계정,자산총계,1475,1393,82,94.44,,,
2018-04-04,계정,지배주주지분,1475,944,531,64.0,,,
2018-04-04,계정,차입금(+리스),1475,1153,322,78.17,,,
2018-08-20,규칙,R1,1413,1413,0,100.0,pass,0,
2018-08-20,규칙,R2,1413,1138,275,80.54,pass,275,
2018-08-20,규칙,R5,1413,1264,149,89.46,pass,149,
2018-08-20,규칙,R6,1413,1280,133,90.59,pass,133,
2018-08-20,계정,당기순이익,1413,1214,199,85.92,,,
2018-08-20,계정,매출액,1413,1244,169,88.04,,,
2018-08-20,계정,매출원가,1413,0,1413,0.0,,,WARN
2018-08-20,계정,매출총이익,1413,1177,236,83.3,,,
2018-08-20,계정,영업활동현금흐름,1413,1226,187,86.77,,,
2018-08-20,계정,자산총계,1413,1354,59,95.82,,,
2018-08-20,계정,지배주주지분,1413,918,495,64.97,,,
2018-08-20,계정,차입금(+리스),1413,1125,288,79.62,,,
2019-04-03,규칙,R1,1503,1497,6,99.6,pass,6,
2019-04-03,규칙,R2,1503,1190,313,79.17,pass,313,
2019-04-03,규칙,R5,1503,1468,35,97.67,pass,35,
2019-04-03,규칙,R6,1503,1473,30,98.0,pass,30,
2019-04-03,계정,당기순이익,1503,1428,75,95.01,,,
2019-04-03,계정,매출액,1503,1430,73,95.14,,,
2019-04-03,계정,매출원가,1503,0,1503,0.0,,,WARN
2019-04-03,계정,매출총이익,1503,1361,142,90.55,,,
2019-04-03,계정,영업활동현금흐름,1503,1417,86,94.28,,,
2019-04-03,계정,자산총계,1503,1431,72,95.21,,,
2019-04-03,계정,지배주주지분,1503,1163,340,77.38,,,
2019-04-03,계정,차입금(+리스),1503,1170,333,77.84,,,
2019-08-20,규칙,R1,1534,1534,0,100.0,pass,0,
2019-08-20,규칙,R2,1534,1352,182,88.14,pass,182,
2019-08-20,규칙,R5,1534,1395,139,90.94,pass,139,
2019-08-20,규칙,R6,1534,1419,115,92.5,pass,115,
2019-08-20,계정,당기순이익,1534,1334,200,86.96,,,
2019-08-20,계정,매출액,1534,1361,173,88.72,,,
2019-08-20,계정,매출원가,1534,0,1534,0.0,,,WARN
2019-08-20,계정,매출총이익,1534,1281,253,83.51,,,
2019-08-20,계정,영업활동현금흐름,1534,1341,193,87.42,,,
2019-08-20,계정,자산총계,1534,1460,74,95.18,,,
2019-08-20,계정,지배주주지분,1534,1198,336,78.1,,,
2019-08-20,계정,차입금(+리스),1534,1228,306,80.05,,,
2020-04-03,규칙,R1,1655,1653,2,99.88,pass,2,
2020-04-03,규칙,R2,1655,1474,181,89.06,pass,181,
2020-04-03,규칙,R5,1655,1637,18,98.91,pass,18,
2020-04-03,규칙,R6,1655,1626,29,98.25,pass,29,
2020-04-03,계정,당기순이익,1655,1580,75,95.47,,,
2020-04-03,계정,매출액,1655,1585,70,95.77,,,
2020-04-03,계정,매출원가,1655,0,1655,0.0,,,WARN
2020-04-03,계정,매출총이익,1655,1500,155,90.63,,,
2020-04-03,계정,영업활동현금흐름,1655,1573,82,95.05,,,
2020-04-03,계정,자산총계,1655,1587,68,95.89,,,
2020-04-03,계정,지배주주지분,1655,1306,349,78.91,,,
2020-04-03,계정,차입금(+리스),1655,1311,344,79.21,,,
2020-08-20,규칙,R1,1700,1699,1,99.94,pass,1,
2020-08-20,규칙,R2,1700,1529,171,89.94,pass,171,
2020-08-20,규칙,R5,1700,1597,103,93.94,pass,103,
2020-08-20,규칙,R6,1700,1581,119,93.0,pass,119,
2020-08-20,계정,당기순이익,1700,1507,193,88.65,,,
2020-08-20,계정,매출액,1700,1523,177,89.59,,,
2020-08-20,계정,매출원가,1700,0,1700,0.0,,,WARN
2020-08-20,계정,매출총이익,1700,1434,266,84.35,,,
2020-08-20,계정,영업활동현금흐름,1700,1509,191,88.76,,,
2020-08-20,계정,자산총계,1700,1627,73,95.71,,,
2020-08-20,계정,지배주주지분,1700,1341,359,78.88,,,
2020-08-20,계정,차입금(+리스),1700,1443,257,84.88,,,
2021-04-05,규칙,R1,1769,1768,1,99.94,pass,1,
2021-04-05,규칙,R2,1769,1576,193,89.09,pass,193,
2021-04-05,규칙,R5,1769,1752,17,99.04,pass,17,
2021-04-05,규칙,R6,1769,1736,33,98.13,pass,33,
2021-04-05,계정,당기순이익,1769,1682,87,95.08,,,
2021-04-05,계정,매출액,1769,1693,76,95.7,,,
2021-04-05,계정,매출원가,1769,0,1769,0.0,,,WARN
2021-04-05,계정,매출총이익,1769,1597,172,90.28,,,
2021-04-05,계정,영업활동현금흐름,1769,1682,87,95.08,,,
2021-04-05,계정,자산총계,1769,1695,74,95.82,,,
2021-04-05,계정,지배주주지분,1769,1395,374,78.86,,,
2021-04-05,계정,차입금(+리스),1769,1506,263,85.13,,,
2021-08-19,규칙,R1,1821,1821,0,100.0,pass,0,
2021-08-19,규칙,R2,1821,1646,175,90.39,pass,175,
2021-08-19,규칙,R5,1821,1723,98,94.62,pass,98,
2021-08-19,규칙,R6,1821,1697,124,93.19,pass,124,
2021-08-19,계정,당기순이익,1821,1630,191,89.51,,,
2021-08-19,계정,매출액,1821,1646,175,90.39,,,
