구간,보고서구분,모집단_n,GPA계산가능_n,GPA계산가능_%,매출총이익_직접,매출액-매출원가_유도,자산총계결측,계산불가_n
2016-04-05,FY,1332,1255,94.22,1255,0,0,77
2016-08-18,H1,1349,0,0.0,0,0,0,1349
2017-04-05,FY,1407,1318,93.67,1318,0,0,89
2017-08-18,H1,1392,1254,90.09,1254,0,0,138
2018-04-04,FY,1475,1395,94.58,1395,0,0,80
2018-08-20,H1,1413,1262,89.31,1262,0,1,151
2019-04-03,FY,1503,1420,94.48,1420,0,1,83
2019-08-20,H1,1534,1368,89.18,1368,0,1,166
2020-04-03,FY,1655,1562,94.38,1562,0,0,93
2020-08-20,H1,1700,1521,89.47,1521,0,2,179
2021-04-05,FY,1769,1650,93.27,1650,0,0,119
2021-08-19,H1,1821,1630,89.51,1630,0,1,191
2022-04-05,FY,1834,1708,93.13,1708,0,0,126
2022-08-18,H1,1821,1603,88.03,1603,0,0,218
2023-04-05,FY,1876,1736,92.54,1736,0,0,140
2023-08-18,H1,1915,1695,88.51,1695,0,0,220
2024-04-03,FY,1856,1687,90.89,1687,0,1,169
2024-08-20,H1,1880,1619,86.12,1619,0,1,261
2025-04-03,FY,1777,1606,90.38,1606,0,0,171
2025-08-20,H1,1983,1711,86.28,1711,0,0,272
2026-04-03,FY,2026,1842,90.92,1842,0,2,184
