구간,종목코드,종목명,결측시작일,결측종료일,결측영업일수
2016-04-05,001000,신라섬유,2016-03-15,2016-03-31,13
2016-04-05,001260,남광토건,2016-01-07,2016-02-04,21
2016-04-05,006390,한일현대시멘트,2016-01-07,2016-04-05,60
2016-04-05,008800,행남사,2016-02-05,2016-03-03,16
2016-04-05,009310,참엔지니어링,2016-01-07,2016-04-05,60
2016-04-05,010640,진양폴리,2016-01-07,2016-04-05,60
2016-04-05,016380,KG스틸,2016-02-17,2016-04-05,34
2016-04-05,018880,한온시스템,2016-01-22,2016-02-15,14
2016-04-05,036220,오상헬스케어,2016-02-02,2016-04-05,42
2016-04-05,043220,티에스넥스젠,2016-01-07,2016-04-05,60
2016-04-05,049180,셀루메드,2016-02-15,2016-03-03,13
2016-04-05,052900,KX하이텍,2016-01-07,2016-03-16,46
2016-04-05,053810,아이팩토리,2016-01-07,2016-04-05,60
2016-04-05,060900,에이전트AI,2016-01-07,2016-04-05,60
2016-04-05,060910,프리젠,2016-01-07,2016-04-05,60
2016-04-05,065660,안트로젠,2016-01-07,2016-02-12,24
2016-04-05,066110,한프,2016-02-25,2016-03-16,14
2016-04-05,071950,코아스,2016-01-26,2016-02-12,11
2016-04-05,074150,엠제이비,2016-03-23,2016-04-05,10
2016-04-05,080440,에스제이케이,2016-03-23,2016-04-05,10
2016-04-05,094840,슈프리마에이치큐,2016-01-07,2016-02-04,21
2016-04-05,095300,엔에스브이,2016-03-23,2016-04-05,10
2016-04-05,142210,유니트론텍,2016-01-07,2016-02-01,18
2016-04-05,158380,삼목강업,2016-03-03,2016-04-05,24
2016-04-05,194370,제이에스코퍼레이션,2016-01-07,2016-02-03,20
2016-04-05,206640,바디텍메드,2016-01-21,2016-02-11,13
2016-04-05,211270,AP위성,2016-01-07,2016-03-03,37
2016-04-05,221610,자안바이오,2016-01-07,2016-01-26,14
2016-04-05,222110,팬젠,2016-01-07,2016-03-10,42
2016-04-05,222420,쎄노텍,2016-01-07,2016-03-10,42
2016-08-18,004740,보루네오,2016-05-25,2016-08-18,60
2016-08-18,005980,성지건설,2016-08-03,2016-08-18,11
2016-08-18,007280,한국특강,2016-05-25,2016-08-18,60
2016-08-18,007540,샘표,2016-06-29,2016-08-08,29
2016-08-18,010640,진양폴리,2016-05-25,2016-08-18,60
2016-08-18,011720,현대페인트,2016-05-25,2016-08-18,60
2016-08-18,032860,더라미,2016-05-25,2016-08-18,60
2016-08-18,033430,디에스티,2016-06-27,2016-07-14,14
2016-08-18,043710,코스리거글로벌,2016-06-16,2016-08-18,45
2016-08-18,052300,오션인더블유,2016-06-30,2016-07-19,14
2016-08-18,060910,프리젠,2016-05-25,2016-08-18,60
2016-08-18,066430,아이로보틱스,2016-05-25,2016-08-18,60
2016-08-18,072520,제넨바이오,2016-06-23,2016-07-13,15
2016-08-18,080440,에스제이케이,2016-05-25,2016-08-18,60
2016-08-18,170790,파이오링크,2016-05-25,2016-07-22,42
2016-08-18,237690,에스티팜,2016-05-25,2016-06-22,20
2016-08-18,237750,피앤씨테크,2016-05-25,2016-07-01,27
2017-04-05,005740,크라운해태홀딩스,2017-02-27,2017-04-05,27
2017-04-05,032790,엠젠솔루션,2017-01-09,2017-04-05,60
2017-04-05,033430,디에스티,2017-01-09,2017-04-05,60
2017-04-05,036500,에스에스컴텍,2017-03-03,2017-04-05,24
2017-04-05,038340,MIT,2017-01-09,2017-04-05,60
2017-04-05,042660,한화오션,2017-01-09,2017-04-05,60
2017-04-05,043220,티에스넥스젠,2017-01-11,2017-03-24,50
2017-04-05,050320,에스에이치엔엘,2017-02-01,2017-04-05,45
2017-04-05,054620,APS,2017-02-24,2017-04-05,28
2017-04-05,058220,아리온,2017-01-24,2017-02-22,20
2017-04-05,065770,CS,2017-02-16,2017-03-09,15
2017-04-05,066430,아이로보틱스,2017-01-09,2017-04-05,60
2017-04-05,078070,유비쿼스홀딩스,2017-02-27,2017-03-30,23
2017-04-05,083360,동북아11호,2017-02-24,2017-03-15,13
2017-04-05,087260,모바일어플라이언스,2017-01-09,2017-02-23,32
2017-04-05,090710,휴림로봇,2017-03-07,2017-03-27,15
2017-04-05,111110,호전실업,2017-01-09,2017-02-01,16
2017-04-05,140070,서플러스글로벌,2017-01-09,2017-01-24,12
2017-04-05,145720,덴티움,2017-01-09,2017-03-14,44
2017-04-05,151910,퓨처코어,2017-01-09,2017-04-05,60
2017-04-05,183300,코미코,2017-01-09,2017-03-22,50
2017-04-05,206650,유바이오로직스,2017-01-09,2017-01-23,11
2017-04-05,208370,셀바스헬스케어,2017-01-16,2017-02-06,14
2017-04-05,214310,에스엘에너지,2017-01-12,2017-02-02,14
2017-04-05,217480,에스디생명공학,2017-01-09,2017-02-28,35
2017-04-05,246720,아스타,2017-01-09,2017-03-17,47
2017-08-18,001800,오리온홀딩스,2017-05-30,2017-07-06,27
2017-08-18,011810,STX,2017-05-25,2017-08-18,60
2017-08-18,023430,아이이,2017-05-25,2017-08-18,60
2017-08-18,038340,MIT,2017-05-25,2017-08-18,60
2017-08-18,039790,위노바,2017-05-25,2017-08-18,60
2017-08-18,042040,케이피엠테크,2017-06-08,2017-06-28,15
2017-08-18,042660,한화오션,2017-05-25,2017-08-18,60
2017-08-18,050320,에스에이치엔엘,2017-05-25,2017-08-18,60
2017-08-18,065150,대산F&B,2017-07-26,2017-08-18,17
2017-08-18,066430,아이로보틱스,2017-05-25,2017-08-18,60
2017-08-18,073110,엘엠에스,2017-05-29,2017-06-19,15
2017-08-18,080440,에스제이케이,2017-05-25,2017-06-14,14
2017-08-18,088390,이녹스,2017-05-30,2017-07-07,28
2017-08-18,089230,THE E&M,2017-06-23,2017-07-10,12
2017-08-18,096690,에이루트,2017-05-25,2017-08-18,60
2017-08-18,131100,티엔엔터테인먼트,2017-05-25,2017-08-01,48
2017-08-18,151910,퓨처코어,2017-05-25,2017-07-12,34
2017-08-18,214310,에스엘에너지,2017-05-25,2017-08-18,60
2017-08-18,220260,켐트로스,2017-05-25,2017-06-22,20
2017-08-18,238490,힘스,2017-05-25,2017-07-19,39
2017-08-18,271560,오리온,2017-05-25,2017-07-06,30
2017-08-18,272290,이녹스첨단소재,2017-05-25,2017-07-07,31
2018-04-04,002780,진흥기업,2018-02-05,2018-02-27,15
2018-04-04,005450,신한,2018-01-25,2018-03-16,34
2018-04-04,005980,성지건설,2018-01-08,2018-01-23,12
2018-04-04,006620,동구바이오제약,2018-01-08,2018-02-12,26
2018-04-04,011200,HMM,2018-01-17,2018-02-01,12
2018-04-04,018250,애경산업,2018-01-08,2018-03-21,50
2018-04-04,033430,디에스티,2018-01-08,2018-04-04,60
2018-04-04,038340,MIT,2018-01-08,2018-04-04,60
2018-04-04,042000,카페24,2018-01-08,2018-02-07,23
