종목코드,종목명,마지막행_날짜,마지막행_상태,직전30일_정지행수,상장폐지일,분류
060240,스타코링크,2026-07-23,normal,14,,**정상거래에서 급정지 (상폐이벤트 없음)**
057050,현대홈쇼핑,2026-07-16,susp,15,,정지행으로 종료 (상폐이벤트 없음)
012510,더존비즈온,2026-07-14,susp,13,,정지행으로 종료 (상폐이벤트 없음)
203690,아크솔루션스,2026-07-07,normal,15,,**정상거래에서 급정지 (상폐이벤트 없음)**
222160,NPX,2026-07-06,normal,14,,**정상거래에서 급정지 (상폐이벤트 없음)**
032980,바이온,2026-06-30,normal,14,,**정상거래에서 급정지 (상폐이벤트 없음)**
101390,아이엠,2026-06-30,normal,14,,**정상거래에서 급정지 (상폐이벤트 없음)**
106520,노블엠앤비,2026-06-30,normal,14,,**정상거래에서 급정지 (상폐이벤트 없음)**
227100,프로브잇,2026-06-30,normal,14,,**정상거래에서 급정지 (상폐이벤트 없음)**
008500,일정실업,2026-06-29,normal,3,,**정상거래에서 급정지 (상폐이벤트 없음)**
230360,에코마케팅,2026-06-29,susp,13,,정지행으로 종료 (상폐이벤트 없음)
230980,비유테크놀러지,2026-06-04,normal,13,,**정상거래에서 급정지 (상폐이벤트 없음)**
0011T0,채비,2026-05-21,normal,0,,**정상거래에서 급정지 (상폐이벤트 없음)**
217620,선샤인푸드,2026-05-07,normal,13,,**정상거래에서 급정지 (상폐이벤트 없음)**
139050,BF랩스,2026-05-07,normal,13,,**정상거래에서 급정지 (상폐이벤트 없음)**
452980,신한제11호스팩,2026-05-06,normal,1,2026-05-07,정상거래에서 급정지 → 상폐
152550,한국ANKOR유전,2026-04-30,susp,2,2026-05-04,정지행으로 종료 → 상폐
452670,상상인제4호스팩,2026-04-20,normal,1,2026-04-21,정상거래에서 급정지 → 상폐
138490,코오롱ENP,2026-04-15,susp,13,2026-04-16,정지행으로 종료 → 상폐
457630,대신밸런스제16호스팩,2026-04-14,normal,1,2026-04-15,정상거래에서 급정지 → 상폐
455310,한화플러스제4호스팩,2026-04-14,normal,1,2026-04-15,정상거래에서 급정지 → 상폐
444920,유안타제11호스팩,2026-04-03,normal,1,2026-04-06,정상거래에서 급정지 → 상폐
