연월,이벤트_n,최초상폐일,최종상폐일
2024-01,16,2024-01-02,2024-01-31
2024-02,9,2024-02-01,2024-02-29
2024-03,6,2024-03-04,2024-03-29
2024-04,13,2024-04-01,2024-04-30
2024-05,6,2024-05-02,2024-05-14
2024-06,16,2024-06-05,2024-06-25
2024-07,14,2024-07-02,2024-07-29
2024-08,11,2024-08-16,2024-08-30
2024-09,9,2024-09-03,2024-09-27
2024-10,14,2024-10-02,2024-10-31
2024-11,22,2024-11-05,2024-11-28
2024-12,18,2024-12-04,2024-12-30
2025-01,5,2025-01-08,2025-01-31
2025-02,16,2025-02-03,2025-02-28
2025-03,9,2025-03-05,2025-03-31
2025-04,18,2025-04-01,2025-04-29
2025-05,17,2025-05-07,2025-05-28
2025-06,19,2025-06-02,2025-06-30
2025-07,30,2025-07-01,2025-07-31
2025-08,19,2025-08-01,2025-08-28
2025-09,16,2025-09-01,2025-09-30
2025-10,25,2025-10-10,2025-10-31
2025-11,21,2025-11-03,2025-11-28
2025-12,24,2025-12-01,2025-12-30
2026-01,26,2026-01-07,2026-01-29
2026-02,25,2026-02-04,2026-02-27
2026-03,18,2026-03-03,2026-03-31
2026-04,11,2026-04-03,2026-04-21
2026-05,5,2026-05-04,2026-05-07
