회계연도,보고서구분,보고종목_n,매출액보유_n,매출액결측_n,결측중_금융업_n,결측중_지주사_n
2016,FY,1669,1662,7,0,0
2016,H1,1614,1607,7,0,0
2017,FY,1761,1758,3,0,0
2017,H1,1689,1682,7,0,0
2018,FY,1835,1833,2,0,0
2018,H1,1776,1773,3,0,0
2019,FY,1922,1920,2,0,0
2019,H1,1854,1852,2,0,0
2020,FY,2009,2003,6,0,1
2020,H1,1938,1934,4,0,0
2021,FY,2081,2076,5,0,0
2021,H1,2024,2019,5,0,0
2022,FY,2178,2175,3,0,0
2022,H1,2107,2104,3,0,0
2023,FY,2341,2313,28,15,6
2023,H1,2212,2208,4,0,0
2024,FY,2450,2419,31,16,6
2024,H1,2380,2348,32,16,6
2025,FY,2543,2508,35,20,7
2025,H1,2502,2468,34,19,6
2026,H1,2474,2440,34,20,7
