구간,규칙,판정가능_n,결측통과_n,결측통과_비율_%
2016-04-05,R3,0,1332,100.0
2016-04-05,R4,0,1332,100.0
2016-08-18,R3,0,1349,100.0
2016-08-18,R4,0,1349,100.0
2017-04-05,R3,1322,85,6.04
2017-04-05,R4,1298,109,7.75
2017-08-18,R3,0,1392,100.0
2017-08-18,R4,0,1392,100.0
2018-04-04,R3,1385,90,6.1
2018-04-04,R4,1358,117,7.93
2018-08-20,R3,1244,169,11.96
2018-08-20,R4,1226,187,13.23
2019-04-03,R3,1430,73,4.86
2019-04-03,R4,1410,93,6.19
2019-08-20,R3,1361,173,11.28
2019-08-20,R4,1338,196,12.78
2020-04-03,R3,1585,70,4.23
2020-04-03,R4,1562,93,5.62
2020-08-20,R3,1523,177,10.41
2020-08-20,R4,1505,195,11.47
2021-04-05,R3,1693,76,4.3
2021-04-05,R4,1675,94,5.31
2021-08-19,R3,1646,175,9.61
2021-08-19,R4,1630,191,10.49
2022-04-05,R3,1749,85,4.63
2022-04-05,R4,1732,102,5.56
2022-08-18,R3,1607,214,11.75
2022-08-18,R4,1593,228,12.52
2023-04-05,R3,1794,82,4.37
2023-04-05,R4,1773,103,5.49
2023-08-18,R3,1720,195,10.18
2023-08-18,R4,1707,208,10.86
2024-04-03,R3,1751,105,5.66
2024-04-03,R4,1735,121,6.52
2024-08-20,R3,1659,221,11.76
2024-08-20,R4,1648,232,12.34
2025-04-03,R3,1696,81,4.56
2025-04-03,R4,1693,84,4.73
2025-08-20,R3,1745,238,12.0
2025-08-20,R4,1735,248,12.51
2026-04-03,R3,1923,103,5.08
2026-04-03,R4,1922,104,5.13
