구간,보고서,회계연도,게이트_n,풀_n,편입_n,L1_상이,L2_상이,L3_상이
2016-04-05,FY,2015,1540,273,13,0,0,0
2016-08-18,H1,2016,1511,686,13,0,0,0
2017-04-05,FY,2016,1628,274,13,0,0,0
2017-08-18,H1,2017,1591,267,13,0,0,0
2018-04-04,FY,2017,1710,236,13,0,0,0
2018-08-20,H1,2018,1688,174,13,0,0,0
2019-04-03,FY,2018,1769,293,13,0,0,0
2019-08-20,H1,2019,1771,195,13,0,0,0
2020-04-03,FY,2019,1846,65,13,0,0,0
2020-08-20,H1,2020,1855,357,13,0,0,0
2021-04-05,FY,2020,1914,512,13,0,0,0
2021-08-19,H1,2021,1942,349,13,0,0,0
2022-04-05,FY,2021,1998,283,13,0,0,0
2022-08-18,H1,2022,2035,156,13,0,0,0
2023-04-05,FY,2022,2059,344,13,0,0,0
2023-08-18,H1,2023,2126,283,13,0,0,0
2024-04-03,FY,2023,2227,310,13,0,0,0
2024-08-20,H1,2024,2305,253,13,0,0,0
2025-04-03,FY,2024,2366,198,13,0,0,0
2025-08-20,H1,2025,2427,414,13,0,0,0
