신호일,기존_랭킹n,재수집_랭킹n,상위13_상이,상위20_상이,spearman,경계종목_13위|14위,상위13_순서까지_상이
2016-04-05,270,270,0,0,1.0,004020|003960,0
2016-08-18,686,686,0,0,1.0,000590|023800,0
2017-04-05,274,274,0,0,1.0,001230|037350,0
2017-08-18,267,267,0,0,1.0,090730|049070,0
2018-04-04,234,234,0,0,1.0,024660|008250,0
2018-08-20,174,174,0,0,1.0,030200|001390,0
2019-04-03,292,292,0,0,1.0,034730|002200,0
2019-08-20,195,195,0,0,1.0,100220|049070,0
2020-04-03,65,65,0,0,1.0,079940|002410,0
2020-08-20,356,356,0,0,1.0,032560|084010,0
2021-04-05,511,511,0,0,1.0,001940|003380,0
2021-08-19,349,349,0,0,1.0,001940|267290,0
2022-04-05,281,281,0,0,1.0,093050|039020,0
2022-08-18,155,155,0,0,1.0,003960|016090,0
2023-04-05,343,343,0,0,1.0,151860|001800,0
2023-08-18,282,282,0,0,1.0,009970|043370,0
2024-04-03,310,310,0,0,1.0,084690|002320,0
2024-08-20,253,253,0,0,1.0,091340|267250,0
2025-04-03,197,197,0,0,1.0,084690|003100,0
2025-08-20,414,414,0,0,1.0,007700|002320,0
2026-04-03,362,362,0,0,1.0,031820|021320,0
