신호일,기존_행,재수집_행,공통_행,완전일치_n,완전일치_%,상대오차_중앙,상대오차_p90,상대오차_최대,기존에만,신규에만
2016-04-05,2131,2085,2085,2082,99.856,0.000e+00,0.000e+00,2.646e+00,46,0
2016-08-18,2154,2103,2103,2101,99.905,0.000e+00,0.000e+00,6.000e-01,51,0
2017-04-05,2207,2149,2149,2146,99.86,0.000e+00,0.000e+00,9.584e-01,58,0
2017-08-18,2226,2163,2163,2160,99.861,0.000e+00,0.000e+00,9.584e-01,63,0
2018-04-04,2260,2199,2199,2196,99.864,0.000e+00,0.000e+00,9.584e-01,61,0
2018-08-20,2277,2217,2217,2214,99.865,0.000e+00,0.000e+00,7.919e-01,60,0
2019-04-03,2327,2272,2272,2268,99.824,0.000e+00,0.000e+00,7.919e-01,55,0
2019-08-20,2354,2300,2300,2296,99.826,0.000e+00,0.000e+00,7.921e-01,54,0
2020-04-03,2409,2362,2362,2358,99.831,0.000e+00,0.000e+00,7.925e-01,47,0
2020-08-20,2413,2368,2368,2363,99.789,0.000e+00,0.000e+00,7.920e-01,45,0
2021-04-05,2485,2443,2443,2439,99.836,0.000e+00,0.000e+00,7.919e-01,42,0
2021-08-19,2502,2464,2464,2460,99.838,0.000e+00,0.000e+00,7.919e-01,38,0
2022-04-05,2544,2510,2510,2507,99.88,0.000e+00,0.000e+00,7.918e-01,34,0
2022-08-18,2557,2529,2529,2527,99.921,0.000e+00,0.000e+00,6.000e-01,28,0
2023-04-05,2618,2590,2590,2589,99.961,0.000e+00,0.000e+00,6.000e-01,28,0
2023-08-18,2648,2625,2625,2625,100.0,0.000e+00,0.000e+00,0.000e+00,23,0
2024-04-03,2702,2683,2683,2683,100.0,0.000e+00,0.000e+00,0.000e+00,19,0
2024-08-20,2726,2711,2711,2711,100.0,0.000e+00,0.000e+00,0.000e+00,15,0
2025-04-03,2772,2760,2760,2760,100.0,0.000e+00,0.000e+00,0.000e+00,12,0
2025-08-20,2774,2766,2766,2766,100.0,0.000e+00,0.000e+00,0.000e+00,8,0
2026-04-03,2774,2774,2774,2774,100.0,0.000e+00,0.000e+00,0.000e+00,0,0
