rebalance_date,next_date,n_stocks,has_delisted,engine_gross,daily_gross,diff_gross,tol_gross,G_NAV_1,engine_tc,recomputed_tc,diff_tc,G_NAV_2,engine_net,daily_net_compound,diff_net,bound_net,G_NAV_4
2016-04-05,2016-08-18,20,False,0.0009433765281742553,0.0009433765281743334,7.806255641895632e-17,1e-06,True,0.0068,0.0068,0.0,True,-0.005856623471825744,-0.005863038432217249,-6.4149603915047634e-06,7.414960391584936e-06,True
2016-08-18,2017-04-05,20,False,-0.0244655562423073,-0.024465556242307063,2.3592239273284576e-16,1e-06,True,0.00272,0.00272,0.0,True,-0.0271855562423073,-0.02711900992932803,6.654631297926816e-05,6.754631297907585e-05,True
2017-04-05,2017-08-18,20,False,0.018101151340948085,0.01810115134094792,-1.6653345369377348e-16,1e-06,True,0.00272,0.00272,0.0,True,0.015381151340948085,0.015331916209300411,-4.923513164767357e-05,5.023513164737879e-05,True
2017-08-18,2018-04-04,20,False,-0.018592138395918455,-0.018592138395918112,3.434752482434078e-16,1e-06,True,0.00238,0.00238,0.0,True,-0.020972138395918456,-0.02092788910653587,4.4249289382587015e-05,4.524928938228592e-05,True
2018-04-04,2018-08-20,20,False,-0.009830024869660909,-0.009830024869661003,-9.367506770274758e-17,1e-06,True,0.00408,0.00408,0.0,True,-0.01391002486966091,-0.013869918368192735,4.01065014681741e-05,4.110650146821651e-05,True
2018-08-20,2019-04-03,20,False,0.007353639162829667,0.007353639162829717,5.0306980803327406e-17,1e-06,True,0.0037400000000000003,0.0037400000000000003,0.0,True,0.0036136391628296665,0.0035861365523608413,-2.7502610468825225e-05,2.8502610468982957e-05,True
2019-04-03,2019-08-20,20,False,-0.12484727600589586,-0.12484727600589585,1.3877787807814457e-17,1e-06,True,0.00408,0.00408,0.0,True,-0.12892727600589587,-0.12841789911979173,0.0005093768861041403,0.0005103768861040551,True
2019-08-20,2020-04-03,20,False,-0.24150591531955815,-0.241505915319558,1.3877787807814457e-16,1e-06,True,0.00238,0.00238,0.0,True,-0.24388591531955814,-0.2433111312410975,0.0005747840784606495,0.0005757840784605485,True
2020-04-03,2020-08-20,20,True,0.350617288750253,0.3506172887502528,-2.220446049250313e-16,0.001,True,0.0034,0.0034,0.0,True,0.347217288750253,0.34602518996850207,-0.0011920987817509165,0.0021930987817508603,True
2020-08-20,2021-04-05,20,False,0.5727264693500611,0.5727264693500611,0.0,1e-06,True,0.00272,0.00272,0.0,True,0.570006469350061,0.5684486533534288,-0.0015578159966322946,0.0015588159966321662,True
2021-04-05,2021-08-19,20,False,0.16104277499678987,0.16104277499678998,1.1102230246251565e-16,1e-06,True,0.00204,0.00204,0.0,True,0.1590027749967899,0.15867424773579653,-0.00032852726099336094,0.0003295272609934514,True
2021-08-19,2022-04-05,20,False,0.06087596771710414,0.06087596771710402,-1.249000902703301e-16,1e-06,True,0.00204,0.00204,0.0,True,0.05883596771710414,0.05871178074296113,-0.0001241869741430146,0.00012518697414289247,True
2022-04-05,2022-08-18,20,True,-0.06145637592477149,-0.06145637592477127,2.220446049250313e-16,0.001,True,0.00306,0.00306,0.0,True,-0.06451637592477148,-0.06432831941444139,0.00018805651033008963,0.0011890565103298007,True
2022-08-18,2023-04-05,20,False,0.21187778300586577,0.2118777830058658,2.7755575615628914e-17,1e-06,True,0.0037400000000000003,0.0037400000000000003,0.0,True,0.20813778300586577,0.207345360097424,-0.0007924229084417811,0.000793422908441938,True
2023-04-05,2023-08-18,20,False,-0.020620451343838855,-0.02062045134383872,1.3530843112619095e-16,1e-06,True,0.0037400000000000003,0.0037400000000000003,0.0,True,-0.024360451343838855,-0.02428333085581269,7.712048802616459e-05,7.812048802595732e-05,True
2023-08-18,2024-04-03,20,False,0.09643767550965315,0.09643767550965299,-1.6653345369377348e-16,1e-06,True,0.0034,0.0034,0.0,True,0.09303767550965315,0.09270978741292013,-0.00032788809673302277,0.00032888809673282075,True
2024-04-03,2024-08-20,20,False,-0.06746977756870826,-0.06746977756870809,1.6653345369377348e-16,1e-06,True,0.00204,0.00204,0.0,True,-0.06950977756870826,-0.06937213922246799,0.00013763834624026805,0.00013863834624016486,True
2024-08-20,2025-04-03,20,False,-0.058996339814832974,-0.0589963398148331,-1.249000902703301e-16,1e-06,True,0.00238,0.00238,0.0,True,-0.061376339814832974,-0.061235928526073846,0.00014041128875912773,0.00014141128875930247,True
2025-04-03,2025-08-20,20,False,0.2637801416491646,0.2637801416491645,-5.551115123125783e-17,1e-06,True,0.00306,0.00306,0.0,True,0.26072014164916457,0.25991297441571803,-0.0008071672334465374,0.0008081672334464435,True
2025-08-20,2026-04-03,20,True,0.24652569761252952,0.24652569761252963,1.1102230246251565e-16,0.001,True,0.00238,0.00238,0.0,True,0.24414569761252952,0.24355896645221176,-0.0005867311603177661,0.0015877311603178204,True
