rebalance_date,next_date,n_stocks,has_delisted,engine_gross,daily_gross,diff_gross,tol_gross,G_NAV_1,engine_tc,recomputed_tc,diff_tc,G_NAV_2,engine_net,daily_net_compound,diff_net,bound_net,G_NAV_4
2016-04-05,2016-08-18,20,False,0.07473837657747971,0.07473837657747984,1.249000902703301e-16,1e-06,True,0.0068,0.0068,0.0,True,0.06793837657747971,0.06743015561675292,-0.0005082209607267935,0.000509220960726862,True
2016-08-18,2017-04-05,5,False,0.012294846375537499,0.01229484637553746,-3.8163916471489756e-17,1e-06,True,0.0068,0.0068,0.0,True,0.005494846375537499,0.005411241420183677,-8.360495535382224e-05,8.460495535365498e-05,True
2017-04-05,2017-08-18,20,False,0.04397551351305455,0.04397551351305462,6.938893903907228e-17,1e-06,True,0.0068,0.0068,0.0,True,0.03717551351305455,0.036876480021165836,-0.0002990334918887144,0.00030003349188877093,True
2017-08-18,2018-04-04,20,False,0.022959907439286914,0.022959907439286775,-1.3877787807814457e-16,1e-06,True,0.00476,0.00476,0.0,True,0.018199907439286914,0.01809061827987568,-0.00010928915941123274,0.00011028915941100572,True
2018-04-04,2018-08-20,20,False,0.08323874789068544,0.0832387478906853,-1.3877787807814457e-16,1e-06,True,0.00612,0.00612,0.0,True,0.07711874789068544,0.07660932675359433,-0.0005094211370911123,0.0005104211370909949,True
2018-08-20,2019-04-03,20,False,0.13038575752631956,0.13038575752631987,3.0531133177191805e-16,1e-06,True,0.0068,0.0068,0.0,True,0.12358575752631956,0.1226991343751409,-0.000886623151178656,0.000887623151178973,True
2019-04-03,2019-08-20,20,False,-0.06981534755041785,-0.06981534755041807,-2.220446049250313e-16,1e-06,True,0.0064600000000000005,0.0064600000000000005,0.0,True,-0.07627534755041784,-0.07582434040524244,0.00045100714517540275,0.00045200714517569935,True
2019-08-20,2020-04-03,20,False,-0.27190045725292855,-0.27190045725292855,0.0,1e-06,True,0.0064600000000000005,0.0064600000000000005,0.0,True,-0.2783604572529286,-0.2766039802990746,0.001756476953853947,0.0017574769538539184,True
2020-04-03,2020-08-20,17,False,0.34998031994830936,0.34998031994830914,-2.220446049250313e-16,1e-06,True,0.0068,0.0068,0.0,True,0.3431803199483094,0.34080045377266055,-0.002379866175648837,0.0023808661756485037,True
2020-08-20,2021-04-05,20,False,0.6347355118488923,0.6347355118488927,3.3306690738754696e-16,1e-06,True,0.0064600000000000005,0.0064600000000000005,0.0,True,0.6282755118488923,0.6241751204423487,-0.004100391406543613,0.004101391406543845,True
2021-04-05,2021-08-19,20,False,0.07420539476672902,0.07420539476672894,-8.326672684688674e-17,1e-06,True,0.00442,0.00442,0.0,True,0.06978539476672901,0.06945740692186009,-0.0003279878448689266,0.0003289878448689423,True
2021-08-19,2022-04-05,20,False,0.0639957754328226,0.06399577543282264,4.163336342344337e-17,1e-06,True,0.00578,0.00578,0.0,True,0.0582157754328226,0.057845879850821014,-0.00036989558200158784,0.00037089558200171466,True
2022-04-05,2022-08-18,20,False,0.013376239705690792,0.013376239705690907,1.1449174941446927e-16,1e-06,True,0.00544,0.00544,0.0,True,0.007936239705690792,0.007863472961691986,-7.276674399880542e-05,7.376674399895791e-05,True
2022-08-18,2023-04-05,20,False,-0.009580131330448393,-0.009580131330448105,2.8796409701215e-16,1e-06,True,0.00408,0.00408,0.0,True,-0.013660131330448393,-0.013621044394619863,3.908693582852993e-05,4.0086935828229446e-05,True
2023-04-05,2023-08-18,20,False,0.02201322504086252,0.02201322504086267,1.5265566588595902e-16,1e-06,True,0.00544,0.00544,0.0,True,0.01657322504086252,0.01645347309664036,-0.00011975194422216007,0.0001207519442222921,True
2023-08-18,2024-04-03,20,False,0.09275188934386955,0.09275188934386946,-8.326672684688674e-17,1e-06,True,0.00578,0.00578,0.0,True,0.08697188934386954,0.08643578342346192,-0.0005361059204076202,0.0005371059204075661,True
2024-04-03,2024-08-20,20,False,0.057254515680554674,0.05725451568055462,-5.551115123125783e-17,1e-06,True,0.0064600000000000005,0.0064600000000000005,0.0,True,0.050794515680554674,0.05042465150925812,-0.00036986417129655086,0.00037086417129638327,True
2024-08-20,2025-04-03,20,False,-0.13303985724442827,-0.13303985724442813,1.3877787807814457e-16,1e-06,True,0.00578,0.00578,0.0,True,-0.13881985724442827,-0.13805088686955536,0.0007689703748729182,0.0007699703748727955,True
2025-04-03,2025-08-20,20,False,0.25557525783032903,0.255575257830329,-5.551115123125783e-17,1e-06,True,0.00612,0.00612,0.0,True,0.24945525783032904,0.2478911372524073,-0.0015641205779217404,0.0015651205779216135,True
2025-08-20,2026-04-03,20,False,0.2767860496680641,0.2767860496680641,0.0,1e-06,True,0.00544,0.00544,0.0,True,0.2713460496680641,0.26984033355786985,-0.001505716110194233,0.0015067161101942686,True
