rebalance_date,next_date,n_stocks,has_delisted,engine_gross,daily_gross,diff_gross,tol_gross,G_NAV_1,engine_tc,recomputed_tc,diff_tc,G_NAV_2,engine_net,daily_net_compound,diff_net,bound_net,G_NAV_4
2016-04-05,2016-08-18,20,False,0.07806365076560762,0.07806365076560806,4.440892098500626e-16,1e-06,True,0.0035,0.0035,0.0,True,0.07456365076560761,0.0742904279879284,-0.0002732227776792162,0.0002742227776796267,True
2016-08-18,2017-04-05,20,False,-0.01385722702383091,-0.013857227023830965,-5.551115123125783e-17,1e-06,True,0.0075,0.0075,0.0,True,-0.02135722702383091,-0.02125329782115215,0.00010392920267875833,0.00010492920267873181,True
2017-04-05,2017-08-18,20,False,-0.0007070330070972925,-0.0007070330070972908,1.734723475976807e-18,1e-06,True,0.00838,0.00838,0.0,True,-0.009087033007097293,-0.00908110807049789,5.924936599403102e-06,6.9249365994753115e-06,True
2017-08-18,2018-04-04,20,False,0.08639035833395374,0.08639035833395359,-1.5265566588595902e-16,1e-06,True,0.0072,0.0072,0.0,True,0.07919035833395374,0.07856834775394916,-0.0006220105800045783,0.0006230105800044669,True
2018-04-04,2018-08-20,20,False,0.08344195849811906,0.0834419584981192,1.3877787807814457e-16,1e-06,True,0.00853,0.00853,0.0,True,0.07491195849811906,0.07420019859213012,-0.0007117599059889429,0.0007127599059889555,True
2018-08-20,2019-04-03,20,False,0.04628067636313365,0.04628067636313382,1.734723475976807e-16,1e-06,True,0.008455,0.008455,0.0,True,0.03782567636313365,0.03743437324448351,-0.0003913031186501409,0.00039230311865029503,True
2019-04-03,2019-08-20,20,False,-0.11936973878760118,-0.11936973878760093,2.498001805406602e-16,1e-06,True,0.00956,0.00956,0.0,True,-0.1289297387876012,-0.12778856408479145,0.0011411747028097496,0.0011421747028094672,True
2019-08-20,2020-04-03,20,False,-0.22595147506639002,-0.2259514750663899,1.1102230246251565e-16,1e-06,True,0.009185,0.009185,0.0,True,-0.23513647506639002,-0.23306111076790514,0.002075364298484872,0.0020763642984847927,True
2020-04-03,2020-08-20,20,False,0.6211451488289083,0.6211451488289084,1.1102230246251565e-16,1e-06,True,0.009625,0.009625,0.0,True,0.6115201488289083,0.6055416267714302,-0.005978522057478064,0.005979522057478242,True
2020-08-20,2021-04-05,20,False,0.5251629676414298,0.52516296764143,2.220446049250313e-16,1e-06,True,0.0091,0.0091,0.0,True,0.5160629676414298,0.511283984635893,-0.004778983005536808,0.004779983005537012,True
2021-04-05,2021-08-19,20,False,0.18812627479483782,0.1881262747948378,-2.7755575615628914e-17,1e-06,True,0.005365000000000001,0.005365000000000001,0.0,True,0.1827612747948378,0.18175197733056359,-0.0010092974642742225,0.001010297464274305,True
2021-08-19,2022-04-05,20,False,0.05798060365375299,0.05798060365375313,1.3877787807814457e-16,1e-06,True,0.007425000000000001,0.007425000000000001,0.0,True,0.05055560365375299,0.0501250976716241,-0.0004305059821288898,0.00043150598212911604,True
2022-04-05,2022-08-18,20,False,-0.08035471487923293,-0.08035471487923285,8.326672684688674e-17,1e-06,True,0.007275,0.007275,0.0,True,-0.08762971487923293,-0.08704513432848648,0.0005845805507464497,0.0005855805507464196,True
2022-08-18,2023-04-05,20,False,0.20216832080761285,0.20216832080761282,-2.7755575615628914e-17,1e-06,True,0.007425000000000001,0.007425000000000001,0.0,True,0.19474332080761286,0.1932422210256164,-0.0015010997819964733,0.0015020997819965255,True
2023-04-05,2023-08-18,20,False,-0.05604355447738513,-0.05604355447738496,1.6653345369377348e-16,1e-06,True,0.005730000000000001,0.005730000000000001,0.0,True,-0.061773554477385126,-0.06145242491022951,0.00032112956715561747,0.00032212956715541686,True
2023-08-18,2024-04-03,20,False,0.03981985667872412,0.03981985667872423,1.1102230246251565e-16,1e-06,True,0.006910000000000001,0.006910000000000001,0.0,True,0.03290985667872412,0.03263470146907421,-0.0002751552096499077,0.0002761552096499837,True
2024-04-03,2024-08-20,20,False,-0.013230110193208442,-0.01323011019320841,3.122502256758253e-17,1e-06,True,0.008015000000000001,0.008015000000000001,0.0,True,-0.021245110193208443,-0.02113907086000988,0.0001060393331985647,0.00010703933319856568,True
2024-08-20,2025-04-03,20,False,-0.05851712834179848,-0.05851712834179834,1.3877787807814457e-16,1e-06,True,0.00706,0.00706,0.0,True,-0.06557712834179848,-0.06516399741570522,0.0004131309260932553,0.0004141309260930973,True
2025-04-03,2025-08-20,20,False,0.24018633675703224,0.24018633675703227,2.7755575615628914e-17,1e-06,True,0.009045000000000001,0.009045000000000001,0.0,True,0.23114133675703225,0.22896885134106504,-0.002172485415967207,0.002173485415967357,True
2025-08-20,2026-04-03,20,False,0.2637470455980034,0.26374704559800377,3.885780586188048e-16,1e-06,True,0.00485,0.00485,0.0,True,0.25889704559800336,0.2576178724268534,-0.0012791731711499499,0.0012801731711503163,True
