period,rebal_date,overlap,overlap_pct,our_top20,comp_top20
2015-03,2015-04-03,0,0.0,,"033340,098660,011080,091440,000680,003010,037330,039340,009270,049120,115160,066570,053610,044060,014200,005390,123860,017370,008870,042600"
2015-08,2015-08-19,0,0.0,,"134580,091440,058220,083470,081970,030200,009270,039340,073570,101330,051360,034220,058850,033340,047440,100220,088790,005390,003920,044060"
2016-03,2016-04-05,4,20.0,"002070,007540,084690,005800,107590,003920,093050,003240,088790,024660,005990,012200,072870,001040,029460,038950,084870,009970,013520,083450","072870,030200,039340,002070,003920,005800,058850,009270,052330,054090,032540,095570,098660,071280,065130,134580,000520,002250,002900,115160"
2016-08,2016-08-18,1,5.0,"215200,093050,084870,084690,079650,107590,071840,139480,098660,079940,072870,123700,095660,088790,078070,079660,115390,083450,133750,069960","072870,075130,181710,003920,003960,069640,058850,073490,016090,031310,030200,005800,058860,009270,002070,052330,095570,068930,000520,037460"
2017-03,2017-04-05,8,40.0,"012200,003960,033290,225650,005990,003920,016090,084690,036000,014470,020000,088790,084730,001040,189860,009970,033160,001530,006840,122450","181710,084870,002070,003960,000520,000220,016090,069640,084730,088790,058860,003920,014470,075130,020000,015890,119860,030200,031310,189860"
2017-08,2017-08-18,4,20.0,"081660,004170,189690,073110,080420,084730,215200,102260,079370,093050,071840,084870,122450,088790,123100,160980,084690,079940,069960,121440","002070,181710,014470,016920,084730,215200,083450,001530,020000,015890,081660,065130,017250,033340,003960,136480,003240,000220,088790,030200"
2018-03,2018-04-04,10,50.0,"081660,083450,016450,215200,005800,073110,123100,248170,005990,001040,003240,001630,015890,090470,093050,033290,084870,020000,032960,080420","002070,083450,215200,073110,005800,037560,093050,090470,058850,073190,123100,003240,020000,085810,005390,046310,030200,081660,004970,064260"
2018-08,2018-08-20,5,25.0,"042420,007540,065130,000700,001530,005990,003160,004170,016590,005390,016740,267290,084690,004960,059090,093050,036000,001040,016090,006840","016740,085810,058850,037560,181710,027390,010470,058860,093050,029460,005800,054940,038950,131290,046310,189690,003160,001530,005390,031310"
2019-03,2019-04-03,6,30.0,"224110,007540,065130,001530,042420,054800,016590,003160,091340,016740,084690,004170,001390,035610,016090,013520,001040,001630,009970,023600","038950,224110,058850,001530,005320,016740,039340,091340,016090,041020,181710,093050,023600,003800,002840,000200,133750,044060,079370,009180"
2019-08,2019-08-20,5,25.0,"089850,065130,016450,053690,005720,083930,002620,053610,001630,046310,005990,049070,057050,042420,007540,001040,032750,084690,000490,101330","095570,100220,039230,181710,053290,083930,038950,005320,041520,065130,181340,299910,088130,049070,057050,066980,039310,016090,101330,130740"
2020-03,2020-04-03,10,50.0,"089850,005990,016450,079960,065130,100220,057050,053690,046310,005390,005720,084690,049070,042420,001040,032750,000320,000490,016090,054210","089050,079960,057050,058860,005390,100220,000490,054210,052790,009270,016090,225590,032750,046310,084870,095570,093050,049070,039310,030200"
2020-08,2020-08-20,5,25.0,"005800,084690,001390,007540,001800,000140,005990,122450,003960,067770,136490,139050,003800,032640,124500,071840,083450,039010,057050,002020","005800,079960,058860,038950,036630,057050,003960,030200,013990,032540,053210,194480,032640,083450,263600,063080,095570,204020,084870,068400"
2021-03,2021-04-05,10,50.0,"000140,007540,095500,084690,083550,139480,005800,192440,005990,032640,001390,089850,003800,004370,030520,057050,079430,001630,071840,136490","000970,095500,083550,038950,085810,032640,192440,005800,139480,058850,057050,123420,053210,004370,006980,079430,127710,030200,071840,067920"
2021-08,2021-08-19,2,10.0,"234080,069960,035610,011780,016090,053610,081660,139480,139050,093050,002790,005990,023600,084010,009970,016450,020000,000070,017480,001120","000970,095500,100220,039340,139480,200880,192440,085810,006980,058850,009270,057050,018700,012200,031310,011780,054040,214270,141000,084870"
2022-03,2022-04-05,10,50.0,"000140,004170,069960,011780,016090,000970,058430,007690,093050,001230,298020,084010,001120,124500,005800,001390,106240,048470,009970,017480","100220,225590,084650,016090,069960,011780,004170,007690,009270,058430,093050,011200,006040,095570,005800,017480,058860,084870,084010,013990"
2022-08,2022-08-18,8,40.0,"035610,078930,011780,225590,004170,002790,213500,084010,053610,016090,023600,069960,016450,253840,205470,020000,005990,093050,093190,016880","006040,011200,225590,009270,038460,004170,084010,058860,053210,009160,016090,036630,093050,005800,001540,058430,069960,205470,253840,005010"
2023-03,2023-04-05,9,45.0,"007700,009970,002070,054800,032680,005010,036710,078930,225590,213500,069960,016450,007980,007860,003030,111110,004170,163560,009300,004990","005010,001540,002070,225590,205470,004720,007980,213500,011200,204020,095570,005320,111110,009300,053210,069960,163560,310870,016090,068790"
2023-08,2023-08-18,3,15.0,"007700,036710,054800,002070,016450,009970,009160,005010,001230,016090,026040,034810,020000,005800,014830,089850,033290,009270,049070,004990","050120,001540,005010,002070,204020,009300,016090,280360,225590,192440,123700,013520,031820,264900,310870,058860,013990,075130,095570,038460"
2024-03,2024-04-03,8,40.0,"000320,005990,016740,007860,007700,089850,052790,002070,007070,038010,108670,280360,019180,264900,007210,013520,192390,041650,084730,046310","204020,181710,058860,052790,069640,084870,016740,264900,016670,019180,031510,280360,036630,084730,004720,009300,041650,005180,002070,051160"
2024-08,2024-08-20,2,10.0,"057050,005440,024950,153490,124500,000140,453340,001040,079170,084690,066130,005990,002070,003800,004970,014440,007860,000320,035810,005750","153490,057050,181710,079430,100220,052790,084730,115440,063080,094850,004720,095660,031510,019180,093050,058860,039740,204020,093240,005430"
2025-03,2025-04-03,7,35.0,"057050,091340,002790,093050,198080,000140,472850,124500,084690,054800,001040,007980,001540,005990,017180,153490,054940,284740,002070,016880","057050,005440,079430,091340,137940,198080,093050,210980,001630,024950,100220,123420,131180,139480,001540,039010,034310,153490,402340,007980"
2025-08,2025-08-20,4,20.0,"100220,002070,002790,088130,054800,139480,024950,001540,037030,069960,084690,013520,035610,036090,192440,013310,284740,004710,093050,066360","210980,005440,100220,075130,001540,057050,013890,123420,139480,053210,054800,039560,078340,005710,248170,141000,079430,017180,128540,198080"
2026-03,2026-04-03,8,40.0,"088130,225590,024950,100220,046940,054800,071840,002790,139480,208350,192440,048910,072470,357230,007720,001540,248170,007540,052330,084690","084180,225590,123420,100220,046940,042420,071840,053210,075130,037560,139480,192440,088130,058860,115570,094850,002150,013890,019540,248170"
