period,code,name,rank
2015-03,033340,좋은사람들,1
2015-03,098660,에스티오,2
2015-03,011080,형지I&C,3
2015-03,091440,한솔소재과학,4
2015-03,000680,LS네트웍스,5
2015-03,003010,혜인,6
2015-03,037330,인지디스플레,7
2015-03,039340,한국경제TV,8
2015-03,009270,신원,9
2015-03,049120,파인디앤씨,10
2015-03,115160,휴맥스,11
2015-03,066570,LG전자,12
2015-03,053610,프로텍,13
2015-03,044060,(상장정보없음),14
2015-03,014200,(상장정보없음),15
2015-03,005390,(상장정보없음),16
2015-03,123860,아나패스,17
2015-03,017370,우신시스템,18
2015-03,008870,금비,19
2015-03,042600,새로닉스,20
2015-08,134580,탑코미디어,1
2015-08,091440,한솔소재과학,2
2015-08,058220,(상장정보없음),3
2015-08,083470,이엠앤아이,4
2015-08,081970,(상장정보없음),5
2015-08,030200,KT,6
2015-08,009270,신원,7
2015-08,039340,한국경제TV,8
2015-08,073570,리틀포머스,9
2015-08,101330,모베이스,10
2015-08,051360,토비스,11
2015-08,034220,LG디스플레이,12
2015-08,058850,KTcs,13
2015-08,033340,좋은사람들,14
2015-08,047440,(상장정보없음),15
2015-08,100220,비상교육,16
2015-08,088790,진도,17
2015-08,005390,(상장정보없음),18
2015-08,003920,남양유업,19
2015-08,044060,(상장정보없음),20
2016-03,072870,메가스터디,1
2016-03,030200,KT,2
2016-03,039340,한국경제TV,3
2016-03,002070,비비안,4
2016-03,003920,남양유업,5
2016-03,005800,신영와코루,6
2016-03,058850,KTcs,7
2016-03,009270,신원,8
2016-03,052330,코텍,9
2016-03,054090,삼진엘앤디,10
2016-03,032540,TJ미디어,11
2016-03,095570,AJ네트웍스,12
2016-03,098660,에스티오,13
2016-03,071280,로체시스템즈,14
2016-03,065130,탑엔지니어링,15
2016-03,134580,탑코미디어,16
2016-03,000520,삼일제약,17
2016-03,002250,(상장정보없음),18
2016-03,002900,TYM,19
2016-03,115160,휴맥스,20
2016-08,072870,메가스터디,1
2016-08,075130,플랜티넷,2
2016-08,181710,NHN,3
2016-08,003920,남양유업,4
2016-08,003960,사조대림,5
2016-08,069640,한세엠케이,6
2016-08,058850,KTcs,7
2016-08,073490,LIGO아큐브,8
2016-08,016090,대현,9
2016-08,031310,아이즈비전,10
2016-08,030200,KT,11
2016-08,005800,신영와코루,12
2016-08,058860,KTis,13
2016-08,009270,신원,14
2016-08,002070,비비안,15
2016-08,052330,코텍,16
2016-08,095570,AJ네트웍스,17
2016-08,068930,디지털대성,18
2016-08,000520,삼일제약,19
2016-08,037460,삼지전자,20
2017-03,181710,NHN,1
2017-03,084870,TBH글로벌,2
2017-03,002070,비비안,3
2017-03,003960,사조대림,4
2017-03,000520,삼일제약,5
2017-03,000220,유유제약,6
2017-03,016090,대현,7
2017-03,069640,한세엠케이,8
2017-03,084730,팅크웨어,9
2017-03,088790,진도,10
2017-03,058860,KTis,11
2017-03,003920,남양유업,12
2017-03,014470,부방,13
2017-03,075130,플랜티넷,14
2017-03,020000,한섬,15
2017-03,015890,태경산업,16
2017-03,119860,(상장정보없음),17
2017-03,030200,KT,18
2017-03,031310,아이즈비전,19
2017-03,189860,서전기전,20
2017-08,002070,비비안,1
2017-08,181710,NHN,2
2017-08,014470,부방,3
2017-08,016920,카스,4
2017-08,084730,팅크웨어,5
2017-08,215200,메가스터디교육,6
2017-08,083450,GST,7
2017-08,001530,DI동일,8
2017-08,020000,한섬,9
2017-08,015890,태경산업,10
2017-08,081660,미스토홀딩스,11
2017-08,065130,탑엔지니어링,12
2017-08,017250,인터엠,13
2017-08,033340,좋은사람들,14
2017-08,003960,사조대림,15
2017-08,136480,하림,16
2017-08,003240,태광산업,17
2017-08,000220,유유제약,18
2017-08,088790,진도,19
2017-08,030200,KT,20
2018-03,002070,비비안,1
2018-03,083450,GST,2
2018-03,215200,메가스터디교육,3
2018-03,073110,엘엠에스,4
2018-03,005800,신영와코루,5
2018-03,037560,LG헬로비전,6
2018-03,093050,LF,7
2018-03,090470,제이스로보틱스,8
2018-03,058850,KTcs,9
2018-03,073190,듀오백,10
2018-03,123100,(상장정보없음),11
2018-03,003240,태광산업,12
2018-03,020000,한섬,13
2018-03,085810,알티캐스트,14
2018-03,005390,(상장정보없음),15
2018-03,046310,백금T&A,16
2018-03,030200,KT,17
2018-03,081660,미스토홀딩스,18
2018-03,004970,신라교역,19
2018-03,064260,다날,20
2018-08,016740,두올,1
2018-08,085810,알티캐스트,2
2018-08,058850,KTcs,3
2018-08,037560,LG헬로비전,4
2018-08,181710,NHN,5
2018-08,027390,(상장정보없음),6
2018-08,010470,오리콤,7
2018-08,058860,KTis,8
2018-08,093050,LF,9
2018-08,029460,케이씨,10
2018-08,005800,신영와코루,11
2018-08,054940,엑사이엔씨,12
2018-08,038950,파인디지털,13
2018-08,131290,티에스이,14
2018-08,046310,백금T&A,15
2018-08,189690,포시에스,16
2018-08,003160,디아이,17
2018-08,001530,DI동일,18
2018-08,005390,(상장정보없음),19
2018-08,031310,아이즈비전,20
2019-03,038950,파인디지털,1
2019-03,224110,에이텍모빌리티,2
2019-03,058850,KTcs,3
2019-03,001530,DI동일,4
2019-03,005320,온타이드,5
2019-03,016740,두올,6
2019-03,039340,한국경제TV,7
2019-03,091340,S&K폴리텍,8
2019-03,016090,대현,9
2019-03,041020,폴라리스오피스,10
2019-03,181710,NHN,11
2019-03,093050,LF,12
2019-03,023600,삼보판지,13
2019-03,003800,에이스침대,14
2019-03,002840,미원상사,15
2019-03,000200,한국수출포장,16
2019-03,133750,메가엠디,17
2019-03,044060,SG세계물산,18
2019-03,079370,제우스,19
2019-03,009180,한솔로지스틱스,20
2019-08,095570,AJ네트웍스,1
2019-08,100220,비상교육,2
2019-08,039230,(상장정보없음),3
2019-08,181710,NHN,4
2019-08,053290,NE능률,5
2019-08,083930,아바코,6
2019-08,038950,파인디지털,7
2019-08,005320,온타이드,8
2019-08,041520,이엘씨,9
2019-08,065130,탑엔지니어링,10
2019-08,181340,(상장정보없음),11
2019-08,299910,(상장정보없음),12
2019-08,088130,동아엘텍,13
2019-08,049070,인탑스,14
2019-08,057050,현대홈쇼핑,15
2019-08,066980,한성크린텍,16
2019-08,039310,세중,17
2019-08,016090,대현,18
2019-08,101330,모베이스,19
2019-08,130740,티피씨글로벌,20
2020-03,089050,유비벨록스,1
2020-03,079960,동양이앤피,2
2020-03,057050,현대홈쇼핑,3
2020-03,058860,KTis,4
2020-03,005390,(상장정보없음),5
2020-03,100220,비상교육,6
2020-03,000490,대동,7
2020-03,054210,이렌텍,8
2020-03,052790,액토즈소프트,9
2020-03,009270,신원,10
2020-03,016090,대현,11
2020-03,225590,패션플랫폼,12
2020-03,032750,삼진,13
2020-03,046310,백금T&A,14
2020-03,084870,TBH글로벌,15
2020-03,095570,AJ네트웍스,16
2020-03,093050,LF,17
2020-03,049070,인탑스,18
2020-03,039310,세중,19
2020-03,030200,KT,20
2020-08,005800,신영와코루,1
2020-08,079960,동양이앤피,2
2020-08,058860,KTis,3
2020-08,038950,파인디지털,4
2020-08,036630,세종텔레콤,5
2020-08,057050,현대홈쇼핑,6
2020-08,003960,사조대림,7
2020-08,030200,KT,8
2020-08,013990,아가방컴퍼니,9
2020-08,032540,TJ미디어,10
2020-08,053210,스카이라이프,11
2020-08,194480,데브시스터즈,12
2020-08,032640,LG유플러스,13
2020-08,083450,GST,14
2020-08,263600,덕우전자,15
2020-08,063080,컴투스홀딩스,16
2020-08,095570,AJ네트웍스,17
2020-08,204020,그리티,18
2020-08,084870,TBH글로벌,19
2020-08,068400,(상장정보없음),20
2021-03,000970,한국주철관,1
2021-03,095500,미래나노텍,2
2021-03,083550,케이엠,3
2021-03,038950,파인디지털,4
2021-03,085810,알티캐스트,5
2021-03,032640,LG유플러스,6
2021-03,192440,슈피겐코리아,7
2021-03,005800,신영와코루,8
2021-03,139480,이마트,9
2021-03,058850,KTcs,10
2021-03,057050,현대홈쇼핑,11
2021-03,123420,위메이드플레이,12
2021-03,053210,스카이라이프,13
2021-03,004370,농심,14
2021-03,006980,우성,15
2021-03,079430,현대리바트,16
2021-03,127710,아시아경제,17
2021-03,030200,KT,18
2021-03,071840,롯데하이마트,19
2021-03,067920,이글루,20
2021-08,000970,한국주철관,1
2021-08,095500,미래나노텍,2
2021-08,100220,비상교육,3
2021-08,039340,한국경제TV,4
2021-08,139480,이마트,5
2021-08,200880,사인이화,6
2021-08,192440,슈피겐코리아,7
2021-08,085810,알티캐스트,8
2021-08,006980,우성,9
2021-08,058850,KTcs,10
2021-08,009270,신원,11
2021-08,057050,현대홈쇼핑,12
2021-08,018700,홈스,13
2021-08,012200,계양전기,14
2021-08,031310,아이즈비전,15
2021-08,011780,금호석유화학,16
2021-08,054040,한국컴퓨터,17
2021-08,214270,FSN,18
2021-08,141000,비아트론,19
2021-08,084870,TBH글로벌,20
2022-03,100220,비상교육,1
2022-03,225590,패션플랫폼,2
2022-03,084650,랩지노믹스,3
2022-03,016090,대현,4
2022-03,069960,현대백화점,5
2022-03,011780,금호석유화학,6
2022-03,004170,신세계,7
2022-03,007690,국도화학,8
