period,code,name,rank,score
2016-03,002070,비비안,1,0.6586
2016-03,007540,샘표,2,0.6262
2016-03,084690,대상홀딩스,3,0.6094
2016-03,005800,신영와코루,4,0.605
2016-03,107590,미원홀딩스,5,0.6012
2016-03,003920,남양유업,6,0.5971
2016-03,093050,LF,7,0.5944
2016-03,003240,태광산업,8,0.5906
2016-03,088790,진도,9,0.5892
2016-03,024660,하림홀딩스,10,0.589
2016-03,005990,매일홀딩스,11,0.5885
2016-03,012200,계양전기,12,0.5882
2016-03,072870,메가스터디,13,0.5867
2016-03,001040,CJ,14,0.5842
2016-03,029460,케이씨,15,0.5823
2016-03,038950,파인디지털,16,0.5799
2016-03,084870,TBH글로벌,17,0.5778
2016-03,009970,영원무역홀딩스,18,0.5743
2016-03,013520,화승코퍼레이션,19,0.5726
2016-03,083450,GST,20,0.5677
2016-08,215200,메가스터디교육,1,0.6252
2016-08,093050,LF,2,0.6218
2016-08,084870,TBH글로벌,3,0.6116
2016-08,084690,대상홀딩스,4,0.6075
2016-08,079650,서산,5,0.606
2016-08,107590,미원홀딩스,6,0.6052
2016-08,071840,롯데하이마트,7,0.594
2016-08,139480,이마트,8,0.5748
2016-08,098660,에스티오,9,0.5692
2016-08,079940,가비아,10,0.5599
2016-08,072870,메가스터디,11,0.5492
2016-08,123700,SJM,12,0.5438
2016-08,095660,네오위즈,13,0.5423
2016-08,088790,진도,14,0.5422
2016-08,078070,유비쿼스홀딩스,15,0.5416
2016-08,079660,사조해표,16,0.5414
2016-08,115390,락앤락,17,0.5408
2016-08,083450,GST,18,0.536
2016-08,133750,메가엠디,19,0.5309
2016-08,069960,현대백화점,20,0.5305
2017-03,012200,계양전기,1,0.871
2017-03,003960,사조대림,2,0.8478
2017-03,033290,로젠,3,0.8339
2017-03,225650,쿠첸,4,0.8225
2017-03,005990,매일홀딩스,5,0.8222
2017-03,003920,남양유업,6,0.8182
2017-03,016090,대현,7,0.8165
2017-03,084690,대상홀딩스,8,0.8122
2017-03,036000,예림당,9,0.81
2017-03,014470,부방,10,0.8035
2017-03,020000,한섬,11,0.8013
2017-03,088790,진도,12,0.8008
2017-03,084730,팅크웨어,13,0.7999
2017-03,001040,CJ,14,0.7969
2017-03,189860,서전기전,15,0.7967
2017-03,009970,영원무역홀딩스,16,0.7955
2017-03,033160,엠케이전자,17,0.7952
2017-03,001530,DI동일,18,0.7921
2017-03,006840,AK홀딩스,19,0.7907
2017-03,122450,KX,20,0.7886
2017-08,081660,미스토홀딩스,1,0.923
2017-08,004170,신세계,2,0.8125
2017-08,189690,포시에스,3,0.8098
2017-08,073110,엘엠에스,4,0.7929
2017-08,080420,모다이노칩,5,0.7912
2017-08,084730,팅크웨어,6,0.7877
2017-08,215200,메가스터디교육,7,0.7865
2017-08,102260,동성케미컬,8,0.7822
2017-08,079370,제우스,9,0.7819
2017-08,093050,LF,10,0.7726
2017-08,071840,롯데하이마트,11,0.7711
2017-08,084870,TBH글로벌,12,0.7654
2017-08,122450,KX,13,0.763
2017-08,088790,진도,14,0.7602
2017-08,123100,원익테라세미콘,15,0.7598
2017-08,160980,싸이맥스,16,0.7488
2017-08,084690,대상홀딩스,17,0.7476
2017-08,079940,가비아,18,0.7476
2017-08,069960,현대백화점,19,0.7451
2017-08,121440,골프존홀딩스,20,0.743
2018-03,081660,미스토홀딩스,1,0.8661
2018-03,083450,GST,2,0.856
2018-03,016450,한세예스24홀딩스,3,0.8541
2018-03,215200,메가스터디교육,4,0.8294
2018-03,005800,신영와코루,5,0.8248
2018-03,073110,엘엠에스,6,0.8245
2018-03,123100,원익테라세미콘,7,0.8214
2018-03,248170,샘표식품,8,0.8187
2018-03,005990,매일홀딩스,9,0.8115
2018-03,001040,CJ,10,0.8089
2018-03,003240,태광산업,11,0.8067
2018-03,001630,종근당홀딩스,12,0.8063
2018-03,015890,태경산업,13,0.8054
2018-03,090470,제이스텍,14,0.8023
2018-03,093050,LF,15,0.8014
2018-03,033290,로젠,16,0.7974
2018-03,084870,TBH글로벌,17,0.7969
2018-03,020000,한섬,18,0.7951
2018-03,032960,동일기연,19,0.7946
2018-03,080420,모다이노칩,20,0.7937
2018-08,042420,네오위즈홀딩스,1,0.8808
2018-08,007540,샘표,2,0.8784
2018-08,065130,탑엔지니어링,3,0.8748
2018-08,000700,유수홀딩스,4,0.8544
2018-08,001530,DI동일,5,0.8511
2018-08,005990,매일홀딩스,6,0.8417
2018-08,003160,디아이,7,0.8397
2018-08,004170,신세계,8,0.8391
2018-08,016590,신대양제지,9,0.8358
2018-08,005390,신성통상,10,0.8268
2018-08,016740,두올,11,0.8219
2018-08,267290,경동도시가스,12,0.8204
2018-08,084690,대상홀딩스,13,0.8189
2018-08,004960,한신공영,14,0.8189
2018-08,059090,미코,15,0.8119
2018-08,093050,LF,16,0.8114
2018-08,036000,예림당,17,0.8094
2018-08,001040,CJ,18,0.8073
2018-08,016090,대현,19,0.8062
2018-08,006840,AK홀딩스,20,0.8028
2019-03,224110,에이텍모빌리티,1,0.9058
2019-03,007540,샘표,2,0.8861
2019-03,065130,탑엔지니어링,3,0.8558
2019-03,001530,DI동일,4,0.8487
2019-03,042420,네오위즈홀딩스,5,0.8485
2019-03,054800,아이디스홀딩스,6,0.8385
2019-03,016590,신대양제지,7,0.8365
2019-03,003160,디아이,8,0.821
2019-03,091340,S&K폴리텍,9,0.8185
2019-03,016740,두올,10,0.8177
2019-03,084690,대상홀딩스,11,0.8111
2019-03,004170,신세계,12,0.8105
2019-03,001390,KG케미칼,13,0.8102
2019-03,035610,솔본,14,0.8097
2019-03,016090,대현,15,0.8063
2019-03,013520,화승코퍼레이션,16,0.8053
2019-03,001040,CJ,17,0.8048
2019-03,001630,종근당홀딩스,18,0.8044
2019-03,009970,영원무역홀딩스,19,0.8005
2019-03,023600,삼보판지,20,0.8003
2019-08,089850,유비벨록스,1,0.9247
2019-08,065130,탑엔지니어링,2,0.8754
2019-08,016450,한세예스24홀딩스,3,0.8661
2019-08,053690,한미글로벌,4,0.8644
2019-08,005720,넥센,5,0.856
2019-08,083930,아바코,6,0.8535
2019-08,002620,제일파마홀딩스,7,0.8447
2019-08,053610,프로텍,8,0.8427
2019-08,001630,종근당홀딩스,9,0.8372
2019-08,046310,백금T&A,10,0.8332
2019-08,005990,매일홀딩스,11,0.8303
2019-08,049070,인탑스,12,0.8225
2019-08,057050,현대홈쇼핑,13,0.8222
2019-08,042420,네오위즈홀딩스,14,0.8216
2019-08,007540,샘표,15,0.8105
2019-08,001040,CJ,16,0.8104
2019-08,032750,삼진,17,0.8076
2019-08,084690,대상홀딩스,18,0.8039
2019-08,000490,대동,19,0.7978
2019-08,101330,모베이스,20,0.7972
2020-03,089850,유비벨록스,1,0.9266
2020-03,005990,매일홀딩스,2,0.8639
2020-03,016450,한세예스24홀딩스,3,0.8603
2020-03,079960,동양이엔피,4,0.8587
2020-03,065130,탑엔지니어링,5,0.8582
2020-03,100220,비상교육,6,0.8568
2020-03,057050,현대홈쇼핑,7,0.852
2020-03,053690,한미글로벌,8,0.8441
2020-03,046310,백금T&A,9,0.8398
2020-03,005390,신성통상,10,0.8316
2020-03,005720,넥센,11,0.8294
2020-03,084690,대상홀딩스,12,0.82
2020-03,049070,인탑스,13,0.8189
2020-03,042420,네오위즈홀딩스,14,0.8155
2020-03,001040,CJ,15,0.815
2020-03,032750,삼진,16,0.8149
2020-03,000320,노루홀딩스,17,0.8144
2020-03,000490,대동,18,0.8113
2020-03,016090,대현,19,0.8057
2020-03,054210,이랜텍,20,0.8053
2020-08,005800,신영와코루,1,0.8729
2020-08,084690,대상홀딩스,2,0.8666
2020-08,001390,KG케미칼,3,0.853
2020-08,007540,샘표,4,0.8432
2020-08,001800,오리온홀딩스,5,0.8388
2020-08,000140,하이트진로홀딩스,6,0.8315
2020-08,005990,매일홀딩스,7,0.8266
2020-08,122450,KX,8,0.8171
2020-08,003960,사조대림,9,0.815
2020-08,067770,세진티에스,10,0.8149
2020-08,136490,선진,11,0.808
2020-08,139050,BF랩스,12,0.8051
2020-08,003800,에이스침대,13,0.8025
2020-08,032640,LG유플러스,14,0.8025
2020-08,124500,아이티센글로벌,15,0.8015
2020-08,071840,롯데하이마트,16,0.7969
2020-08,083450,GST,17,0.7941
2020-08,039010,현대에이치티,18,0.7909
2020-08,057050,현대홈쇼핑,19,0.7894
